,mpg,cylinders,displacement,horsepower,weight,accel_0_60_time,model_year,origin_country
49,28.0,4,116.0,90,2123,14.0,71,0
50,30.0,4,79.0,70,2074,19.5,71,0
51,30.0,4,88.0,76,2065,14.5,71,0
52,31.0,4,71.0,65,1773,19.0,71,0
53,35.0,4,72.0,69,1613,18.0,71,0
54,27.0,4,97.0,60,1834,19.0,71,0
55,26.0,4,91.0,70,1955,20.5,71,1
56,24.0,4,113.0,95,2278,15.5,72,0
57,25.0,4,97.5,80,2126,17.0,72,1
58,23.0,4,97.0,54,2254,23.5,72,0
59,20.0,4,140.0,90,2408,19.5,72,1
60,21.0,4,122.0,86,2226,16.5,72,1
61,13.0,8,350.0,165,4274,12.0,72,1
62,14.0,8,400.0,175,4385,12.0,72,1
63,15.0,8,318.0,150,4135,13.5,72,1
64,14.0,8,351.0,153,4129,13.0,72,1
65,17.0,8,304.0,150,3672,11.5,72,1
66,11.0,8,429.0,208,4633,11.0,72,1
67,13.0,8,350.0,155,4502,13.5,72,1
68,12.0,8,350.0,160,4456,13.5,72,1
69,13.0,8,400.0,190,4422,12.5,72,1
70,19.0,3,70.0,97,2330,13.5,72,0
71,15.0,8,304.0,150,3892,12.5,72,1
72,13.0,8,307.0,130,4098,14.0,72,1
73,13.0,8,302.0,140,4294,16.0,72,1
74,14.0,8,318.0,150,4077,14.0,72,1
75,18.0,4,121.0,112,2933,14.5,72,0
76,22.0,4,121.0,76,2511,18.0,72,0
77,21.0,4,120.0,87,2979,19.5,72,0
78,26.0,4,96.0,69,2189,18.0,72,0
79,22.0,4,122.0,86,2395,16.0,72,1
80,28.0,4,97.0,92,2288,17.0,72,0
81,23.0,4,120.0,97,2506,14.5,72,0
82,28.0,4,98.0,80,2164,15.0,72,1
83,27.0,4,97.0,88,2100,16.5,72,0
84,13.0,8,350.0,175,4100,13.0,73,1
85,14.0,8,304.0,150,3672,11.5,73,1
86,13.0,8,350.0,145,3988,13.0,73,1
87,14.0,8,302.0,137,4042,14.5,73,1
88,15.0,8,318.0,150,3777,12.5,73,1
89,12.0,8,429.0,198,4952,11.5,73,1
90,13.0,8,400.0,150,4464,12.0,73,1
91,13.0,8,351.0,158,4363,13.0,73,1
92,14.0,8,318.0,150,4237,14.5,73,1
93,13.0,8,440.0,215,4735,11.0,73,1
94,12.0,8,455.0,225,4951,11.0,73,1
95,13.0,8,360.0,175,3821,11.0,73,1
96,18.0,6,225.0,105,3121,16.5,73,1
97,16.0,6,250.0,100,3278,18.0,73,1
98,18.0,6,232.0,100,2945,16.0,73,1
99,18.0,6,250.0,88,3021,16.5,73,1
100,23.0,6,198.0,95,2904,16.0,73,1
101,26.0,4,97.0,46,1950,21.0,73,0
102,11.0,8,400.0,150,4997,14.0,73,1
103,12.0,8,400.0,167,4906,12.5,73,1
104,13.0,8,360.0,170,4654,13.0,73,1
105,12.0,8,350.0,180,4499,12.5,73,1
106,18.0,6,232.0,100,2789,15.0,73,1
107,20.0,4,97.0,88,2279,19.0,73,0
108,21.0,4,140.0,72,2401,19.5,73,1
109,22.0,4,108.0,94,2379,16.5,73,0
110,18.0,3,70.0,90,2124,13.5,73,0
111,19.0,4,122.0,85,2310,18.5,73,1
112,21.0,6,155.0,107,2472,14.0,73,1
113,26.0,4,98.0,90,2265,15.5,73,0
114,15.0,8,350.0,145,4082,13.0,73,1
115,16.0,8,400.0,230,4278,9.5,73,1
116,29.0,4,68.0,49,1867,19.5,73,0
117,24.0,4,116.0,75,2158,15.5,73,0
118,20.0,4,114.0,91,2582,14.0,73,0
119,19.0,4,121.0,112,2868,15.5,73,0
120,15.0,8,318.0,150,3399,11.0,73,1
121,24.0,4,121.0,110,2660,14.0,73,0
122,20.0,6,156.0,122,2807,13.5,73,0
123,11.0,8,350.0,180,3664,11.0,73,1
124,20.0,6,198.0,95,3102,16.5,74,1
125,19.0,6,232.0,100,2901,16.0,74,1
126,15.0,6,250.0,100,3336,17.0,74,1
127,31.0,4,79.0,67,1950,19.0,74,0
128,26.0,4,122.0,80,2451,16.5,74,1
129,32.0,4,71.0,65,1836,21.0,74,0
130,25.0,4,140.0,75,2542,17.0,74,1
131,16.0,6,250.0,100,3781,17.0,74,1
132,16.0,6,258.0,110,3632,18.0,74,1
133,18.0,6,225.0,105,3613,16.5,74,1
134,16.0,8,302.0,140,4141,14.0,74,1
135,13.0,8,350.0,150,4699,14.5,74,1
136,14.0,8,318.0,150,4457,13.5,74,1
137,14.0,8,302.0,140,4638,16.0,74,1
138,14.0,8,304.0,150,4257,15.5,74,1
139,29.0,4,98.0,83,2219,16.5,74,0
140,26.0,4,79.0,67,1963,15.5,74,0
141,26.0,4,97.0,78,2300,14.5,74,0
142,31.0,4,76.0,52,1649,16.5,74,0
143,32.0,4,83.0,61,2003,19.0,74,0
144,28.0,4,90.0,75,2125,14.5,74,1
145,24.0,4,90.0,75,2108,15.5,74,0
146,26.0,4,116.0,75,2246,14.0,74,0
147,24.0,4,120.0,97,2489,15.0,74,0
148,26.0,4,108.0,93,2391,15.5,74,0
149,31.0,4,79.0,67,2000,16.0,74,0
150,19.0,6,225.0,95,3264,16.0,75,1
151,18.0,6,250.0,105,3459,16.0,75,1
152,15.0,6,250.0,72,3432,21.0,75,1
153,15.0,6,250.0,72,3158,19.5,75,1
154,16.0,8,400.0,170,4668,11.5,75,1
155,15.0,8,350.0,145,4440,14.0,75,1
156,16.0,8,318.0,150,4498,14.5,75,1
157,14.0,8,351.0,148,4657,13.5,75,1
158,17.0,6,231.0,110,3907,21.0,75,1
159,16.0,6,250.0,105,3897,18.5,75,1
160,15.0,6,258.0,110,3730,19.0,75,1
161,18.0,6,225.0,95,3785,19.0,75,1
162,21.0,6,231.0,110,3039,15.0,75,1
163,20.0,8,262.0,110,3221,13.5,75,1
164,13.0,8,302.0,129,3169,12.0,75,1
165,29.0,4,97.0,75,2171,16.0,75,0
166,23.0,4,140.0,83,2639,17.0,75,1
167,20.0,6,232.0,100,2914,16.0,75,1
168,23.0,4,140.0,78,2592,18.5,75,1
169,24.0,4,134.0,96,2702,13.5,75,0
170,25.0,4,90.0,71,2223,16.5,75,0
171,24.0,4,119.0,97,2545,17.0,75,0
172,18.0,6,171.0,97,2984,14.5,75,1
173,29.0,4,90.0,70,1937,14.0,75,0
174,19.0,6,232.0,90,3211,17.0,75,1
175,23.0,4,115.0,95,2694,15.0,75,0
176,23.0,4,120.0,88,2957,17.0,75,0
177,22.0,4,121.0,98,2945,14.5,75,0
178,25.0,4,121.0,115,2671,13.5,75,0
179,33.0,4,91.0,53,1795,17.5,75,0
180,28.0,4,107.0,86,2464,15.5,76,0
181,25.0,4,116.0,81,2220,16.9,76,0
182,25.0,4,140.0,92,2572,14.9,76,1
183,26.0,4,98.0,79,2255,17.7,76,1
184,27.0,4,101.0,83,2202,15.3,76,0
185,17.5,8,305.0,140,4215,13.0,76,1
186,16.0,8,318.0,150,4190,13.0,76,1
187,15.5,8,304.0,120,3962,13.9,76,1
188,14.5,8,351.0,152,4215,12.8,76,1
189,22.0,6,225.0,100,3233,15.4,76,1
190,22.0,6,250.0,105,3353,14.5,76,1
191,24.0,6,200.0,81,3012,17.6,76,1
192,22.5,6,232.0,90,3085,17.6,76,1
193,29.0,4,85.0,52,2035,22.2,76,1
194,24.5,4,98.0,60,2164,22.1,76,1
195,29.0,4,90.0,70,1937,14.2,76,0
196,33.0,4,91.0,53,1795,17.4,76,0
197,20.0,6,225.0,100,3651,17.7,76,1
198,18.0,6,250.0,78,3574,21.0,76,1
199,18.5,6,250.0,110,3645,16.2,76,1
200,17.5,6,258.0,95,3193,17.8,76,1
201,29.5,4,97.0,71,1825,12.2,76,0
202,32.0,4,85.0,70,1990,17.0,76,0
203,28.0,4,97.0,75,2155,16.4,76,0
204,26.5,4,140.0,72,2565,13.6,76,1
205,20.0,4,130.0,102,3150,15.7,76,0
206,13.0,8,318.0,150,3940,13.2,76,1
207,19.0,4,120.0,88,3270,21.9,76,0
208,19.0,6,156.0,108,2930,15.5,76,0
209,16.5,6,168.0,120,3820,16.7,76,0
210,16.5,8,350.0,180,4380,12.1,76,1
211,13.0,8,350.0,145,4055,12.0,76,1
212,13.0,8,302.0,130,3870,15.0,76,1
213,13.0,8,318.0,150,3755,14.0,76,1
214,31.5,4,98.0,68,2045,18.5,77,0
215,30.0,4,111.0,80,2155,14.8,77,1
216,36.0,4,79.0,58,1825,18.6,77,0
217,25.5,4,122.0,96,2300,15.5,77,1
218,33.5,4,85.0,70,1945,16.8,77,0
219,17.5,8,305.0,145,3880,12.5,77,1
220,17.0,8,260.0,110,4060,19.0,77,1
221,15.5,8,318.0,145,4140,13.7,77,1
222,15.0,8,302.0,130,4295,14.9,77,1
223,17.5,6,250.0,110,3520,16.4,77,1
224,20.5,6,231.0,105,3425,16.9,77,1
225,19.0,6,225.0,100,3630,17.7,77,1
226,18.5,6,250.0,98,3525,19.0,77,1
227,16.0,8,400.0,180,4220,11.1,77,1
228,15.5,8,350.0,170,4165,11.4,77,1
229,15.5,8,400.0,190,4325,12.2,77,1
230,16.0,8,351.0,149,4335,14.5,77,1
231,29.0,4,97.0,78,1940,14.5,77,0
232,24.5,4,151.0,88,2740,16.0,77,1
233,26.0,4,97.0,75,2265,18.2,77,0
234,25.5,4,140.0,89,2755,15.8,77,1
235,30.5,4,98.0,63,2051,17.0,77,1
236,33.5,4,98.0,83,2075,15.9,77,1
237,30.0,4,97.0,67,1985,16.4,77,0
238,30.5,4,97.0,78,2190,14.1,77,0
239,22.0,6,146.0,97,2815,14.5,77,0
240,21.5,4,121.0,110,2600,12.8,77,0
241,21.5,3,80.0,110,2720,13.5,77,0
242,43.1,4,90.0,48,1985,21.5,78,0
243,36.1,4,98.0,66,1800,14.4,78,1
244,32.8,4,78.0,52,1985,19.4,78,0
245,39.4,4,85.0,70,2070,18.6,78,0
246,36.1,4,91.0,60,1800,16.4,78,0
247,19.9,8,260.0,110,3365,15.5,78,1
248,19.4,8,318.0,140,3735,13.2,78,1
249,20.2,8,302.0,139,3570,12.8,78,1
250,19.2,6,231.0,105,3535,19.2,78,1
251,20.5,6,200.0,95,3155,18.2,78,1
252,20.2,6,200.0,85,2965,15.8,78,1
253,25.1,4,140.0,88,2720,15.4,78,1
254,20.5,6,225.0,100,3430,17.2,78,1
255,19.4,6,232.0,90,3210,17.2,78,1
256,20.6,6,231.0,105,3380,15.8,78,1
257,20.8,6,200.0,85,3070,16.7,78,1
258,18.6,6,225.0,110,3620,18.7,78,1
259,18.1,6,258.0,120,3410,15.1,78,1
260,19.2,8,305.0,145,3425,13.2,78,1
261,17.7,6,231.0,165,3445,13.4,78,1
262,18.1,8,302.0,139,3205,11.2,78,1
263,17.5,8,318.0,140,4080,13.7,78,1
264,30.0,4,98.0,68,2155,16.5,78,1
265,27.5,4,134.0,95,2560,14.2,78,0
266,27.2,4,119.0,97,2300,14.7,78,0
267,30.9,4,105.0,75,2230,14.5,78,1
268,21.1,4,134.0,95,2515,14.8,78,0
269,23.2,4,156.0,105,2745,16.7,78,1
270,23.8,4,151.0,85,2855,17.6,78,1
271,23.9,4,119.0,97,2405,14.9,78,0
272,20.3,5,131.0,103,2830,15.9,78,0
273,17.0,6,163.0,125,3140,13.6,78,0
274,21.6,4,121.0,115,2795,15.7,78,0
275,16.2,6,163.0,133,3410,15.8,78,0
276,31.5,4,89.0,71,1990,14.9,78,0
277,29.5,4,98.0,68,2135,16.6,78,0
278,21.5,6,231.0,115,3245,15.4,79,1
279,19.8,6,200.0,85,2990,18.2,79,1
280,22.3,4,140.0,88,2890,17.3,79,1
281,20.2,6,232.0,90,3265,18.2,79,1
282,20.6,6,225.0,110,3360,16.6,79,1
283,17.0,8,305.0,130,3840,15.4,79,1
284,17.6,8,302.0,129,3725,13.4,79,1
285,16.5,8,351.0,138,3955,13.2,79,1
286,18.2,8,318.0,135,3830,15.2,79,1
287,16.9,8,350.0,155,4360,14.9,79,1
288,15.5,8,351.0,142,4054,14.3,79,1
289,19.2,8,267.0,125,3605,15.0,79,1
290,18.5,8,360.0,150,3940,13.0,79,1
291,31.9,4,89.0,71,1925,14.0,79,0
292,34.1,4,86.0,65,1975,15.2,79,0
293,35.7,4,98.0,80,1915,14.4,79,1
294,27.4,4,121.0,80,2670,15.0,79,1
295,25.4,5,183.0,77,3530,20.1,79,0
296,23.0,8,350.0,125,3900,17.4,79,1
297,27.2,4,141.0,71,3190,24.8,79,0
298,23.9,8,260.0,90,3420,22.2,79,1
299,34.2,4,105.0,70,2200,13.2,79,1
300,34.5,4,105.0,70,2150,14.9,79,1
301,31.8,4,85.0,65,2020,19.2,79,0
302,37.3,4,91.0,69,2130,14.7,79,0
303,28.4,4,151.0,90,2670,16.0,79,1
304,28.8,6,173.0,115,2595,11.3,79,1
305,26.8,6,173.0,115,2700,12.9,79,1
306,33.5,4,151.0,90,2556,13.2,79,1
307,41.5,4,98.0,76,2144,14.7,80,0
308,38.1,4,89.0,60,1968,18.8,80,0
309,32.1,4,98.0,70,2120,15.5,80,1
310,37.2,4,86.0,65,2019,16.4,80,0
311,28.0,4,151.0,90,2678,16.5,80,1
312,26.4,4,140.0,88,2870,18.1,80,1
313,24.3,4,151.0,90,3003,20.1,80,1
314,19.1,6,225.0,90,3381,18.7,80,1
315,34.3,4,97.0,78,2188,15.8,80,0
316,29.8,4,134.0,90,2711,15.5,80,0
317,31.3,4,120.0,75,2542,17.5,80,0
318,37.0,4,119.0,92,2434,15.0,80,0
319,32.2,4,108.0,75,2265,15.2,80,0
320,46.6,4,86.0,65,2110,17.9,80,0
321,27.9,4,156.0,105,2800,14.4,80,1
322,40.8,4,85.0,65,2110,19.2,80,0
323,44.3,4,90.0,48,2085,21.7,80,0
324,43.4,4,90.0,48,2335,23.7,80,0
325,36.4,5,121.0,67,2950,19.9,80,0
326,30.0,4,146.0,67,3250,21.8,80,0
327,44.6,4,91.0,67,1850,13.8,80,0
328,33.8,4,97.0,67,2145,18.0,80,0
329,29.8,4,89.0,62,1845,15.3,80,0
330,32.7,6,168.0,132,2910,11.4,80,0
331,23.7,3,70.0,100,2420,12.5,80,0
332,35.0,4,122.0,88,2500,15.1,80,0
333,32.4,4,107.0,72,2290,17.0,80,0
334,27.2,4,135.0,84,2490,15.7,81,1
335,26.6,4,151.0,84,2635,16.4,81,1
336,25.8,4,156.0,92,2620,14.4,81,1
337,23.5,6,173.0,110,2725,12.6,81,1
338,30.0,4,135.0,84,2385,12.9,81,1
339,39.1,4,79.0,58,1755,16.9,81,0
340,39.0,4,86.0,64,1875,16.4,81,1
341,35.1,4,81.0,60,1760,16.1,81,0
342,32.3,4,97.0,67,2065,17.8,81,0
343,37.0,4,85.0,65,1975,19.4,81,0
344,37.7,4,89.0,62,2050,17.3,81,0
345,34.1,4,91.0,68,1985,16.0,81,0
346,34.7,4,105.0,63,2215,14.9,81,1
347,34.4,4,98.0,65,2045,16.2,81,1
348,29.9,4,98.0,65,2380,20.7,81,1
349,33.0,4,105.0,74,2190,14.2,81,0
350,33.7,4,107.0,75,2210,14.4,81,0
351,32.4,4,108.0,75,2350,16.8,81,0
352,32.9,4,119.0,100,2615,14.8,81,0
353,31.6,4,120.0,74,2635,18.3,81,0
354,28.1,4,141.0,80,3230,20.4,81,0
355,30.7,6,145.0,76,3160,19.6,81,0
356,25.4,6,168.0,116,2900,12.6,81,0
357,24.2,6,146.0,120,2930,13.8,81,0
358,22.4,6,231.0,110,3415,15.8,81,1
359,26.6,8,350.0,105,3725,19.0,81,1
360,20.2,6,200.0,88,3060,17.1,81,1
361,17.6,6,225.0,85,3465,16.6,81,1
362,28.0,4,112.0,88,2605,19.6,82,1
363,27.0,4,112.0,88,2640,18.6,82,1
364,34.0,4,112.0,88,2395,18.0,82,1
365,31.0,4,112.0,85,2575,16.2,82,1
366,29.0,4,135.0,84,2525,16.0,82,1
367,27.0,4,151.0,90,2735,18.0,82,1
368,24.0,4,140.0,92,2865,16.4,82,1
369,36.0,4,105.0,74,1980,15.3,82,0
370,37.0,4,91.0,68,2025,18.2,82,0
371,31.0,4,91.0,68,1970,17.6,82,0
372,38.0,4,105.0,63,2125,14.7,82,1
373,36.0,4,98.0,70,2125,17.3,82,1
374,36.0,4,120.0,88,2160,14.5,82,0
375,36.0,4,107.0,75,2205,14.5,82,0
376,34.0,4,108.0,70,2245,16.9,82,0
377,38.0,4,91.0,67,1965,15.0,82,0
378,32.0,4,91.0,67,1965,15.7,82,0
379,38.0,4,91.0,67,1995,16.2,82,0
380,25.0,6,181.0,110,2945,16.4,82,1
381,38.0,6,262.0,85,3015,17.0,82,1
382,26.0,4,156.0,92,2585,14.5,82,1
383,22.0,6,232.0,112,2835,14.7,82,1
384,32.0,4,144.0,96,2665,13.9,82,0
385,36.0,4,135.0,84,2370,13.0,82,1
386,27.0,4,151.0,90,2950,17.3,82,1
387,27.0,4,140.0,86,2790,15.6,82,1
388,44.0,4,97.0,52,2130,24.6,82,0
389,32.0,4,135.0,84,2295,11.6,82,1
390,28.0,4,120.0,79,2625,18.6,82,1
391,31.0,4,119.0,82,2720,19.4,82,1
